,type,price,beds,bath,propertysqft,locality,sublocality,latitude,longitude,borough,zip_code,broker_name
849,Townhouse for sale,10975000,3,4.0,2184.2078,New York,Kings County,40.696365,-73.994156,Brooklyn,11201,Brown Harris Stevens
850,House for sale,599000,4,2.0,2184.2078,New York,Queens County,40.700333,-73.78751,Queens,11433,Keystone Realty USA Corp
851,House for sale,699999,4,2.0,2184.2078,New York,Kings County,40.686214,-73.87408,Brooklyn,11208,Chase Global Realty Corp
852,Co-op for sale,370000,3,1.0,2184.2078,New York County,New York,40.74504,-73.98397,Manhattan,10016,Other
853,Townhouse for sale,1499000,9,6.0,2184.2078,New York,Kings County,40.583515,-73.97389,Brooklyn,11223,Other
854,Co-op for sale,299000,1,1.0,2184.2078,New York County,New York,40.753807,-73.99353,Manhattan,10018,Douglas Elliman
855,House for sale,2400000,5,4.0,3800.0,New York,Richmond County,40.57525,-74.130486,Staten Island,10306,Other
856,Condo for sale,275000,1,1.0,850.0,Kings County,Brooklyn,40.60563,-73.94324,Brooklyn,11229,Other
857,Co-op for sale,1395000,3,3.0,1750.0,New York County,New York,40.797134,-73.972206,Manhattan,10025,Brown Harris Stevens
858,Condo for sale,568000,2,1.0,550.0,Kings County,Brooklyn,40.61412,-73.99666,Brooklyn,11204,Other
859,Multi-family home for sale,1049000,3,2.0,2184.2078,New York,Queens County,40.775116,-73.9024,Queens,11105,Other
860,House for sale,899000,4,2.0,1200.0,New York,Queens County,40.77916,-73.82575,Other,11357,E Realty International
861,Co-op for sale,495000,1,1.0,2184.2078,New York County,New York,40.788563,-73.97679,Manhattan,10024,Keller Williams
862,House for sale,535000,3,3.0,1328.0,New York,Bronx County,40.835506,-73.911995,Bronx,10456,Nest Seekers International
863,House for sale,799999,3,2.0,1596.0,New York,Richmond County,40.54196,-74.16829,Staten Island,10312,Other
864,Condo for sale,1989000,2,2.0,1274.0,New York County,New York,40.7604,-73.991936,Manhattan,10036,COMPASS
865,House for sale,699000,6,4.0,2223.0,New York,Bronx County,40.81868,-73.89547,Bronx,10459,RE/MAX
866,Co-op for sale,369000,1,1.0,900.0,United States,New York,40.8764,-73.91847,Bronx,10463,Other
867,House for sale,599000,4,4.0,2100.0,New York,Queens County,40.608364,-73.756546,Other,11691,Other
868,Co-op for sale,169000,1,1.0,680.0,Kings County,Brooklyn,40.61502,-73.946495,Brooklyn,11229,Other
869,House for sale,749000,3,2.0,1600.0,New York,Bronx County,40.854492,-73.84904,Bronx,10461,Other
870,House for sale,1099000,5,4.0,3500.0,New York,Richmond County,40.54578,-74.18471,Staten Island,10312,Other
871,Townhouse for sale,475000,2,2.0,1364.0,New York,Richmond County,40.563488,-74.142265,Staten Island,10306,eXp Realty
872,Co-op for sale,124900,1,1.0,676.0,Bronx County,The Bronx,40.880833,-73.87586,Bronx,10467,Other
873,House for sale,5900000,7,8.0,10100.0,New York,Bronx County,40.897896,-73.903305,Bronx,10471,Corcoran
874,Condo for sale,249000,2,1.0,815.0,New York,Bronx County,40.84096,-73.85414,Bronx,10462,eXp Realty
875,Condo for sale,509000,3,1.0,2184.2078,Queens County,Queens,40.754402,-73.87634,Queens,11372,NoBroker
876,Townhouse for sale,549000,3,2.0,1150.0,New York,Richmond County,40.503204,-74.23885,Staten Island,10307,Other
877,Townhouse for sale,2995000,4,6.0,2184.2078,New York,Kings County,40.681953,-73.93733,Brooklyn,11233,Brown Harris Stevens
878,Multi-family home for sale,1999000,6,4.0,3850.0,New York,Bronx County,40.91107,-73.90179,Bronx,10471,RE/MAX
879,Co-op for sale,269000,1,1.0,2184.2078,Queens County,Queens,40.775925,-73.90874,Queens,11105,eXp Realty
880,Townhouse for sale,9950000,10,10.0,2184.2078,New York,New York County,40.785286,-73.95604,Manhattan,10128,Sotheby's International Realty
881,Condo for sale,2200000,3,4.0,1779.0,New York County,New York,40.76851,-73.95,Manhattan,10021,COMPASS
882,House for sale,479000,4,2.0,1800.0,New York,Queens County,40.671482,-73.76068,Other,11413,Other
883,Co-op for sale,60000000,8,8.0,2184.2078,New York County,New York,40.775642,-73.96425,Manhattan,10075,COMPASS
884,Co-op for sale,329000,1,1.0,2184.2078,Queens County,Queens,40.719307,-73.84532,Other,11375,Other
885,Townhouse for sale,588000,4,3.0,2160.0,Bronx County,The Bronx,40.867893,-73.90785,Bronx,10463,Other
886,Condo for sale,3300000,2,2.0,1652.0,New York,New York County,40.772015,-73.955536,Manhattan,10075,Corcoran
887,Co-op for sale,169999,2,1.0,2184.2078,Queens County,Queens,40.757904,-73.85624,Other,11368,COMPASS
888,Co-op for sale,439000,1,1.0,950.0,Richmond County,Staten Island,40.63812,-74.07397,Staten Island,10301,Other
889,House for sale,758000,3,2.0,1760.0,New York,Queens County,40.708633,-73.86542,Other,11385,Other
890,Co-op for sale,448000,3,1.0,2184.2078,Queens County,Queens,40.793266,-73.798485,Other,11357,B Square Realty
891,Townhouse for sale,2977000,4,4.0,2601.0,New York,Kings County,40.68343,-74.005486,Brooklyn,11231,COMPASS
892,Co-op for sale,385000,1,1.0,900.0,Bronx County,The Bronx,40.876793,-73.9177,Bronx,10463,Brown Harris Stevens
893,House for sale,1475000,5,4.0,1928.0,New York,Queens County,40.599968,-73.745514,Other,11691,Other
894,House for sale,978000,3,2.0,2184.2078,New York,Queens County,40.73371,-73.776535,Other,11365,Other
895,Condo for sale,2700000,3,3.0,1398.0,Kings County,Brooklyn,40.732082,-73.96103,Brooklyn,11222,COMPASS
896,House for sale,3500000,24,8.0,9500.0,New York,Kings County,40.671795,-73.940735,Brooklyn,11213,Other
897,Co-op for sale,349000,2,1.0,900.0,Bronx County,The Bronx,40.880257,-73.91683,Bronx,10463,Douglas Elliman
898,Townhouse for sale,790000,3,2.0,1596.0,New York,Queens County,40.776196,-73.84777,Queens,11354,RE/MAX
899,Condo for sale,750000,2,2.0,995.0,Queens County,Queens,40.77841,-73.78105,Queens,11360,Corcoran
900,Co-op for sale,1195000,3,3.0,995.0,Bronx County,The Bronx,40.88309,-73.91657,Bronx,10463,Brown Harris Stevens
901,Co-op for sale,1750000,3,3.0,995.0,New York County,New York,40.79892,-73.9724,Manhattan,10025,COMPASS
902,House for sale,874999,3,2.0,2868.0,New York,Richmond County,40.57718,-74.11943,Staten Island,10306,Keller Williams
903,Co-op for sale,324900,1,1.0,900.0,New York County,New York,40.871643,-73.91785,Manhattan,10034,Coldwell Banker
904,Co-op for sale,97500,2,1.0,791.0,Bronx County,The Bronx,40.827904,-73.88162,Bronx,10472,Other
905,Condo for sale,2200000,2,2.0,2035.0,New York County,New York,40.77087,-73.966736,Manhattan,10021,COMPASS
906,House for sale,550000,2,2.0,995.0,New York,Bronx County,40.82097,-73.80742,Bronx,10465,RE/MAX
907,Co-op for sale,519999,3,2.0,1100.0,Queens County,Queens,40.755116,-73.87527,Queens,11372,RE/MAX
908,House for sale,729000,2,1.0,1100.0,New York,Richmond County,40.53432,-74.199844,Staten Island,10309,Other
909,House for sale,2898555,5,5.0,7200.0,New York,Richmond County,40.5203,-74.178055,Staten Island,10312,Other
910,House for sale,611999,3,2.0,2184.2078,New York,Queens County,40.69732,-73.7316,Other,11411,Other
911,House for sale,1500000,3,3.0,2100.0,New York,Kings County,40.578617,-73.942024,Brooklyn,11235,RE/MAX
912,House for sale,5600000,5,4.0,4959.0,New York,Kings County,40.611855,-73.947716,Brooklyn,11229,Century 21
913,Co-op for sale,299999,2,1.0,857.0,Bronx County,The Bronx,40.822777,-73.80848,Bronx,10465,Other
914,House for sale,2358000,4,5.0,6300.0,New York,Richmond County,40.54672,-74.19232,Staten Island,10312,Other
915,House for sale,748888,2,2.0,1260.0,New York,Richmond County,40.61311,-74.16038,Staten Island,10314,"Tom Crimmins Realty, Ltd."
916,House for sale,630000,2,2.0,1450.0,New York,Richmond County,40.56042,-74.13446,Staten Island,10306,Robert DeFalco Realty
917,Condo for sale,1389000,2,2.0,1043.0,New York County,New York,40.849705,-73.94014,Manhattan,10033,Other
918,Co-op for sale,319000,2,1.0,925.0,Queens County,Queens,40.735584,-73.84912,Other,11375,Keller Williams
919,House for sale,319000,3,1.0,2184.2078,New York,Richmond County,40.624214,-74.13573,Staten Island,10302,Sowae Corp
920,Multi-family home for sale,1199000,4,3.0,1848.0,New York,Queens County,40.734947,-73.77332,Other,11366,COMPASS
921,Multi-family home for sale,1500000,6,4.0,3328.0,New York,Richmond County,40.58511,-74.10361,Staten Island,10306,Other
922,House for sale,780000,3,2.0,1320.0,New York,Kings County,40.638435,-73.889984,Brooklyn,11236,Other
923,Co-op for sale,350000,2,1.0,2184.2078,New York County,New York,40.825596,-73.952995,Manhattan,10031,Other
924,Co-op for sale,255000,1,1.0,750.0,Kings County,Brooklyn,40.57923,-73.97132,Brooklyn,11224,Century 21
925,Condo for sale,649000,2,2.0,905.0,New York,Kings County,40.585514,-73.988396,Brooklyn,11214,Other
926,House for sale,1480000,4,4.0,1596.0,New York,Queens County,40.76998,-73.82575,Queens,11354,E Realty International
927,House for sale,628000,3,2.0,1824.0,New York,Richmond County,40.575596,-74.16363,Staten Island,10314,"Homes R Us Realty of NY, Inc."
928,Co-op for sale,190000,2,1.0,875.0,Bronx County,The Bronx,40.87661,-73.89985,Bronx,10468,Century 21
929,Condo for sale,450000,2,1.0,2184.2078,Queens County,Queens,40.75418,-73.831085,Queens,11355,Other
930,House for sale,699900,3,2.0,1240.0,New York,Queens County,40.71397,-73.89706,Other,11379,Other
931,Multi-family home for sale,2495000,3,4.0,2184.2078,New York,Queens County,40.767975,-73.899666,Queens,11370,Corcoran
932,Co-op for sale,149999,1,1.0,850.0,Bronx County,The Bronx,40.899216,-73.86241,Bronx,10470,Other
933,Co-op for sale,208000,1,1.0,610.0,New York County,New York,40.739803,-73.99804,Other,11357,Other
934,Multi-family home for sale,1768888,10,10.0,3933.0,New York,Kings County,40.641026,-74.01128,Brooklyn,11220,Other
935,Multi-family home for sale,1239998,4,4.0,2250.0,New York,Richmond County,40.535557,-74.20759,Staten Island,10309,Other
936,Multi-family home for sale,1699000,9,5.0,5500.0,New York,Bronx County,40.87546,-73.88075,Bronx,10467,Other
937,House for sale,1350000,3,3.0,2184.2078,New York,Queens County,40.724705,-73.795746,Other,11366,Other
938,House for sale,889000,3,2.0,2362.0,New York,Richmond County,40.539577,-74.181076,Staten Island,10312,Robert DeFalco Realty
939,Condo for sale,1300000,2,2.0,1100.0,Kings County,Brooklyn,40.674644,-73.99928,Brooklyn,11231,Corcoran
940,Co-op for sale,310000,2,1.0,675.0,Queens County,Queens,40.744404,-73.72376,Other,11426,Douglas Elliman
941,Multi-family home for sale,11000000,50,50.0,22035.0,New York,Kings County,40.637695,-73.90484,Brooklyn,11236,Other
942,Co-op for sale,239900,1,1.0,585.0,Queens County,Queens,40.751667,-73.7183,Other,11004,Other
